Roll No,First name,Last name,DOB /Age,Grade,Grade LL,Section,Mandal,Village Name,Gender (M/F),Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Total Score,Total Marks,Total %,Center,Center_Name
BIH_5,Colin,,8,3,3,A,South Kristifort,Lopez Crossroad,M,2,3,1,2,1,3,1,2,3,2,20,30,66.67,BIH,Bihar
BIH_1,Ashley,,15,10,10,A,Kellyburgh,Melanie Route,F,1,3,2,2,1,1,3,0,3,3,19,30,63.33,BIH,Bihar
BIH_22,Victoria,,15,10,10,A,Schroedermouth,Kelley Dam,M,1,3,2,2,3,1,3,2,1,1,19,30,63.33,BIH,Bihar
BIH_20,April,,14,9,9,A,Lake Hunter,James Alley,M,2,0,0,0,1,2,0,0,0,0,5,30,16.67,BIH,Bihar
BIH_3,Brian,,6,1,1,A,Christopherburgh,Johnson Divide,M,0,0,0,0,1,2,0,2,2,0,7,30,23.33,BIH,Bihar
BIH_8,Annette,,15,10,10,A,West Billy,Jessica Forest,F,0,2,0,0,2,0,0,3,1,0,8,30,26.67,BIH,Bihar
BIH_50,Wendy,,12,7,7,B,Gregoryborough,Flowers Estate,M,2,3,2,1,3,1,3,3,3,3,24,30,80.0,BIH,Bihar
BIH_38,Ashley,,10,5,5,B,Solomonside,Ralph Branch,M,2,4,0,2,1,4,2,3,3,1,22,30,73.33,BIH,Bihar
BIH_46,Matthew,,16,10,10,B,Murraychester,Riley Plains,M,2,2,1,1,4,4,1,2,3,2,22,30,73.33,BIH,Bihar
BIH_33,Daniel,,11,6,6,B,Port Carl,Jamie Ways,M,0,0,0,0,2,1,0,3,1,0,7,30,23.33,BIH,Bihar
BIH_31,Laura,,9,4,4,B,Kellybury,Madeline Fords,M,2,2,1,0,2,1,0,0,1,1,10,30,33.33,BIH,Bihar
BIH_42,Jason,,8,3,3,B,North Larry,Laura Neck,M,2,3,1,1,0,0,1,1,1,0,10,30,33.33,BIH,Bihar
BIH_86,Joseph,,6,1,1,C,Perryberg,Keller Groves,M,0,3,2,2,3,3,3,2,2,2,22,30,73.33,BIH,Bihar
BIH_85,Brandi,,9,4,4,C,Port Patrickbury,Paul Place,M,2,4,2,2,3,4,3,0,1,0,21,30,70.0,BIH,Bihar
BIH_64,Mary,,11,6,6,C,West Thomasmouth,Forbes Plain,F,1,4,2,2,1,4,1,3,0,2,20,30,66.67,BIH,Bihar
BIH_78,Oscar,,12,7,7,C,Anthonyberg,Thomas Drives,M,1,1,0,0,0,2,1,1,0,2,8,30,26.67,BIH,Bihar
BIH_87,James,,12,7,7,C,North Mollyberg,Craig Squares,M,0,1,1,0,0,1,3,0,1,1,8,30,26.67,BIH,Bihar
BIH_68,Martin,,7,2,2,C,Fosterhaven,Miller Haven,F,1,0,1,0,1,3,2,0,0,1,9,30,30.0,BIH,Bihar
BIH_93,Cynthia,,13,8,8,D,Lake Rebecca,Gardner Trail,F,2,4,0,2,4,1,3,1,1,3,21,30,70.0,BIH,Bihar
BIH_102,Kathleen,,6,1,1,D,West Fernandoburgh,Jennifer Estates,F,1,3,1,0,3,3,3,3,3,0,20,30,66.67,BIH,Bihar
BIH_103,Richard,,10,5,5,D,Wallaceville,Kerry View,F,1,4,2,2,4,0,3,0,0,3,19,30,63.33,BIH,Bihar
BIH_94,David,,15,10,10,D,New Sonyaton,Paula Rapid,M,0,1,0,0,0,3,2,2,0,1,9,30,30.0,BIH,Bihar
BIH_99,Daniel,,9,4,4,D,Sullivanstad,Singleton Cliff,M,1,0,1,1,3,3,0,0,1,0,10,30,33.33,BIH,Bihar
BIH_116,Tyler,,16,10,10,D,South Nancy,Kenneth Shore,M,0,1,2,1,2,0,1,0,3,0,10,30,33.33,BIH,Bihar
BIH_127,Richard,,14,9,9,E,Anthonymouth,Gonzalez Turnpike,F,1,2,1,1,4,4,2,2,1,3,21,30,70.0,BIH,Bihar
BIH_139,Dustin,,15,10,10,E,New Jeffville,Smith Freeway,F,0,4,1,2,4,4,3,1,0,1,20,30,66.67,BIH,Bihar
BIH_142,Carl,,15,10,10,E,West Gregoryburgh,Tammy Port,F,1,4,0,0,4,3,3,3,2,0,20,30,66.67,BIH,Bihar
BIH_138,Daniel,,8,3,3,E,Port Jerome,Mendez Burgs,F,0,0,1,0,2,3,2,1,0,0,9,30,30.0,BIH,Bihar
BIH_145,Raymond,,15,10,10,E,Hutchinsonstad,Casey Center,M,2,1,0,1,0,1,1,0,0,3,9,30,30.0,BIH,Bihar
BIH_125,Samantha,,14,9,9,E,Port Justinport,Ryan Curve,M,2,0,0,0,1,3,1,0,3,0,10,30,33.33,BIH,Bihar
