Roll No,First name,Last name,DOB /Age,Grade,Grade LL,Section,Mandal,Village Name,Gender (M/F),Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Total Score,Total Marks,Total %,Center,Center_Name
PAT_25,Joan,,6,1,1,A,South Kaitlinport,Heather Drive,M,2,4,2,2,1,3,3,2,0,3,22,30,73.33,PAT,Patna
PAT_8,Jason,,13,8,8,A,Simmonston,Landry Tunnel,F,2,4,2,0,0,4,3,2,2,1,20,30,66.67,PAT,Patna
PAT_9,Jason,,13,8,8,A,Waltersside,Joshua Causeway,M,2,2,2,1,3,1,3,3,2,0,19,30,63.33,PAT,Patna
PAT_28,Wesley,,8,3,3,A,Port Ambermouth,James Heights,F,1,2,0,0,0,0,1,0,1,0,5,30,16.67,PAT,Patna
PAT_22,Gina,,12,7,7,A,Chapmanland,Michael Forks,M,0,0,1,2,0,0,1,1,2,0,7,30,23.33,PAT,Patna
PAT_23,Daniel,,6,1,1,A,Andrewstad,Valenzuela Village,M,0,0,0,1,0,4,0,1,0,1,7,30,23.33,PAT,Patna
PAT_47,Maxwell,,10,5,5,B,North Davidborough,William Grove,M,1,4,2,1,4,4,2,0,2,1,21,30,70.0,PAT,Patna
PAT_48,Christopher,,13,8,8,B,Meganfurt,Wilson Dale,M,2,3,2,1,3,3,2,1,0,2,19,30,63.33,PAT,Patna
PAT_51,Lindsey,,9,4,4,B,East Anthonyland,Timothy Port,M,2,0,2,2,1,4,2,3,0,3,19,30,63.33,PAT,Patna
PAT_45,Kristina,,11,6,6,B,North Erikafurt,Wallace Gardens,F,1,0,2,0,1,2,0,1,1,1,9,30,30.0,PAT,Patna
PAT_58,Kristen,,7,2,2,B,Dennismouth,Mclaughlin Parks,F,0,0,1,1,3,1,1,1,1,1,10,30,33.33,PAT,Patna
PAT_31,Christopher,,6,1,1,B,South Robert,Holloway Course,F,1,0,2,2,1,1,0,3,0,2,12,30,40.0,PAT,Patna
PAT_68,Ernest,,11,6,6,C,Davidmouth,Kimberly Expressway,M,2,4,1,1,4,4,0,3,3,1,23,30,76.67,PAT,Patna
PAT_74,Jennifer,,8,3,3,C,North Dana,Sara Squares,F,0,2,1,1,3,4,2,3,3,2,21,30,70.0,PAT,Patna
PAT_64,Tiffany,,7,2,2,C,Swansonhaven,Shannon Mountain,M,1,4,2,1,4,1,1,3,2,1,20,30,66.67,PAT,Patna
PAT_67,Aaron,,15,10,10,C,Phillipton,Austin Ferry,F,2,1,1,1,0,0,0,0,2,3,10,30,33.33,PAT,Patna
PAT_69,Joshua,,10,5,5,C,New Sarahfort,James Plaza,M,2,1,2,2,2,0,0,0,1,0,10,30,33.33,PAT,Patna
PAT_88,Sheila,,12,7,7,C,Stevenbury,Hill Corners,F,1,2,0,0,0,2,1,2,2,0,10,30,33.33,PAT,Patna
PAT_105,Amy,,10,5,5,D,North Andrew,Douglas Knolls,M,1,2,0,2,1,3,3,3,3,3,21,30,70.0,PAT,Patna
PAT_111,Carrie,,12,7,7,D,North Victoriatown,Joseph Falls,F,2,3,2,2,1,3,2,3,0,2,20,30,66.67,PAT,Patna
PAT_101,Anthony,,7,2,2,D,Barkerport,Bond Wall,F,2,0,0,0,4,4,1,2,3,3,19,30,63.33,PAT,Patna
PAT_100,Maria,,8,3,3,D,Port Thomas,Lewis Bypass,M,2,0,1,0,2,0,1,2,0,0,8,30,26.67,PAT,Patna
PAT_102,Tracey,,11,6,6,D,Chavezhaven,Sandra Fort,F,1,1,2,0,1,0,3,0,1,0,9,30,30.0,PAT,Patna
PAT_109,Jared,,10,5,5,D,South Lisa,Dylan Crossroad,M,0,0,2,0,1,4,0,1,1,1,10,30,33.33,PAT,Patna
PAT_136,Sandra,,7,2,2,E,East Brandontown,Brown Plains,F,0,4,2,0,2,2,3,3,2,2,20,30,66.67,PAT,Patna
PAT_149,Tyler,,7,2,2,E,Johnsonberg,Rachel Mountains,F,1,2,1,1,3,4,3,0,3,2,20,30,66.67,PAT,Patna
PAT_139,Julie,,12,7,7,E,Lake Tiffany,James Field,M,2,4,0,2,4,2,0,2,2,0,18,30,60.0,PAT,Patna
PAT_132,Clinton,,14,9,9,E,Dixonchester,Heath Ways,F,1,0,1,2,4,0,0,1,0,0,9,30,30.0,PAT,Patna
PAT_143,Jeffrey,,9,4,4,E,Russoview,Wood Union,F,1,0,1,2,0,0,0,2,2,1,9,30,30.0,PAT,Patna
PAT_129,Danielle,,6,1,1,E,Blankenshipmouth,Benjamin Ports,M,0,3,0,2,2,2,1,0,0,0,10,30,33.33,PAT,Patna
