Roll No,First name,Last name,DOB /Age,Grade,Grade LL,Section,Mandal,Village Name,Gender (M/F),Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Total Score,Total Marks,Total %,Center,Center_Name
SMT_18,Angela,,6,1,1,A,Medinaview,Jonathon Point,F,2,3,2,2,2,4,3,3,3,1,25,30,83.33,SMT,SMT
SMT_30,Brittany,,15,10,10,A,Ramirezberg,Brown Expressway,F,2,1,2,2,2,4,2,1,3,3,22,30,73.33,SMT,SMT
SMT_24,Alicia,,7,2,2,A,Schultzburgh,Paul Center,F,2,4,2,0,4,0,3,3,2,1,21,30,70.0,SMT,SMT
SMT_3,Jenny,,13,8,8,A,Carrfurt,Valerie Mission,M,2,0,0,1,0,0,0,2,2,0,7,30,23.33,SMT,SMT
SMT_19,Jason,,12,7,7,A,Lake Lisa,Black Orchard,F,2,0,2,2,0,2,0,0,1,0,9,30,30.0,SMT,SMT
SMT_26,Daniel,,7,2,2,A,Longhaven,Jessica Crescent,F,1,2,0,2,0,1,0,3,1,0,10,30,33.33,SMT,SMT
SMT_43,Michael,,9,4,4,B,East Brianna,Renee Rue,M,2,0,2,2,4,2,3,3,2,2,22,30,73.33,SMT,SMT
SMT_44,Connie,,13,8,8,B,Lake Lisachester,Virginia Island,M,1,0,2,2,4,2,3,3,3,2,22,30,73.33,SMT,SMT
SMT_31,Mary,,11,6,6,B,West Jeffreyville,Chapman Court,F,0,4,1,2,4,4,1,1,1,2,20,30,66.67,SMT,SMT
SMT_32,Nancy,,7,2,2,B,Lake Vincent,Amy Walk,F,2,1,0,1,0,0,2,2,0,1,9,30,30.0,SMT,SMT
SMT_40,Jennifer,,10,5,5,B,Kathleenmouth,Felicia Union,M,0,4,0,0,0,0,1,3,1,0,9,30,30.0,SMT,SMT
SMT_48,Carol,,16,10,10,B,South Evelyn,Jessica Ferry,M,0,2,0,1,2,0,1,0,3,0,9,30,30.0,SMT,SMT
SMT_74,James,,15,10,10,C,East Aaronview,David Creek,M,2,3,0,2,4,4,2,1,3,1,22,30,73.33,SMT,SMT
SMT_63,Mark,,15,10,10,C,South Maria,Angela Bridge,F,2,1,1,1,4,4,2,2,1,2,20,30,66.67,SMT,SMT
SMT_81,Nicholas,,6,1,1,C,Boydmouth,Hall Shoal,F,0,4,1,2,2,2,2,3,2,2,20,30,66.67,SMT,SMT
SMT_90,Kathryn,,12,7,7,C,South Thomasside,Davila Tunnel,M,2,1,0,0,0,1,2,0,0,0,6,30,20.0,SMT,SMT
SMT_67,Allen,,13,8,8,C,Port Gabrielview,Kelly Roads,M,0,1,2,0,2,1,1,1,0,0,8,30,26.67,SMT,SMT
SMT_73,Pedro,,6,1,1,C,Wilsonshire,Schaefer Point,F,1,1,2,0,1,0,0,0,2,1,8,30,26.67,SMT,SMT
SMT_99,Jeremy,,9,4,4,D,Kennethville,Paula Estate,M,1,4,2,1,2,4,2,2,2,2,22,30,73.33,SMT,SMT
SMT_111,Jeremy,,11,6,6,D,Port Abigail,David Orchard,M,2,4,2,0,2,3,2,1,1,3,20,30,66.67,SMT,SMT
SMT_116,Ryan,,13,8,8,D,Lake Dennismouth,Page Forest,M,2,2,2,1,1,4,0,2,3,3,20,30,66.67,SMT,SMT
SMT_97,Cindy,,7,2,2,D,South Theodoreborough,Stewart Brook,F,0,0,0,0,4,0,0,1,0,1,6,30,20.0,SMT,SMT
SMT_104,James,,6,1,1,D,South Emilyfurt,Gonzales Plaza,M,0,3,1,1,1,1,0,2,0,0,9,30,30.0,SMT,SMT
SMT_107,Martha,,14,9,9,D,Kimberlychester,Eaton Orchard,M,0,3,0,1,1,0,2,0,2,1,10,30,33.33,SMT,SMT
SMT_130,Traci,,6,1,1,E,Javierport,White Lodge,F,2,4,2,1,3,4,3,0,3,1,23,30,76.67,SMT,SMT
SMT_123,Jessica,,10,5,5,E,West Daisyview,James Burgs,F,2,1,2,1,3,4,2,0,2,3,20,30,66.67,SMT,SMT
SMT_127,Marie,,16,10,10,E,Lake Kimberly,Beck Way,F,2,2,1,2,4,4,0,3,0,2,20,30,66.67,SMT,SMT
SMT_129,Gregory,,13,8,8,E,Hebertshire,Shepard Springs,M,0,1,0,0,1,0,0,0,0,0,2,30,6.67,SMT,SMT
SMT_145,Courtney,,16,10,10,E,New Linda,Phillip Viaduct,F,0,1,0,1,1,3,1,0,0,0,7,30,23.33,SMT,SMT
SMT_139,Mark,,15,10,10,E,Lake Steven,Gonzalez Glens,M,0,0,1,0,1,0,3,0,2,2,9,30,30.0,SMT,SMT
