Roll No,First name,Last name,DOB /Age,Grade,Grade LL,Section,Mandal,Village Name,Gender (M/F),Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Total Score,Total Marks,Total %,Center,Center_Name
BIH_1,Ashley,,15,10,10,A,Kellyburgh,Melanie Route,F,1,3,2,2,1,1,3,0,3,3,19,30,63.33,BIH,Bihar
BIH_2,Cynthia,,13,8,8,A,Delacruzbury,Singh Harbors,M,0,1,2,1,4,3,0,3,1,0,15,30,50.0,BIH,Bihar
BIH_3,Brian,,6,1,1,A,Christopherburgh,Johnson Divide,M,0,0,0,0,1,2,0,2,2,0,7,30,23.33,BIH,Bihar
BIH_4,Laura,,8,3,3,A,Jeffreyton,David Summit,M,0,3,1,0,4,4,1,1,1,2,17,30,56.67,BIH,Bihar
BIH_5,Colin,,8,3,3,A,South Kristifort,Lopez Crossroad,M,2,3,1,2,1,3,1,2,3,2,20,30,66.67,BIH,Bihar
BIH_6,Sarah,,8,3,3,A,New Jose,Juarez Dam,M,2,2,0,2,1,0,2,3,0,2,14,30,46.67,BIH,Bihar
BIH_7,Kathleen,,16,10,10,A,Jamesstad,Thomas Rest,M,0,1,1,0,0,2,0,2,3,2,11,30,36.67,BIH,Bihar
BIH_8,Annette,,15,10,10,A,West Billy,Jessica Forest,F,0,2,0,0,2,0,0,3,1,0,8,30,26.67,BIH,Bihar
BIH_9,Cheryl,,11,6,6,A,East Kari,Christopher Trail,M,0,0,0,2,2,0,3,0,0,1,8,30,26.67,BIH,Bihar
BIH_10,Kathryn,,11,6,6,A,North Marilynbury,Amber Groves,M,1,4,1,1,0,1,3,1,2,3,17,30,56.67,BIH,Bihar
BIH_11,Michael,,16,10,10,A,Kimberlytown,Vazquez Station,F,0,2,2,2,4,0,0,3,1,3,17,30,56.67,BIH,Bihar
BIH_12,Holly,,12,7,7,A,Michaelhaven,Elizabeth Via,F,2,0,0,1,0,1,2,3,3,3,15,30,50.0,BIH,Bihar
BIH_13,Rebecca,,9,4,4,A,Lake Stacy,Anne Fall,M,2,3,2,1,0,0,3,0,2,3,16,30,53.33,BIH,Bihar
BIH_14,Sharon,,16,10,10,A,Angelicamouth,Armstrong Lock,F,2,1,2,1,2,0,0,2,2,3,15,30,50.0,BIH,Bihar
BIH_15,Stephanie,,12,7,7,A,North Alex,Deanna Expressway,M,1,0,0,1,0,0,2,3,1,1,9,30,30.0,BIH,Bihar
BIH_16,Laura,,16,10,10,A,Port Scott,Todd Falls,M,1,3,1,1,1,2,2,2,1,3,17,30,56.67,BIH,Bihar
BIH_17,Sergio,,10,5,5,A,Osborneburgh,Michael Meadow,F,0,1,2,2,1,3,2,3,1,2,17,30,56.67,BIH,Bihar
BIH_18,Jeffrey,,12,7,7,A,Bruceport,Diaz Mission,F,0,0,0,0,0,4,0,1,3,3,11,30,36.67,BIH,Bihar
BIH_19,Omar,,12,7,7,A,West Maria,Franco Islands,F,0,1,2,1,2,0,2,2,0,0,10,30,33.33,BIH,Bihar
BIH_20,April,,14,9,9,A,Lake Hunter,James Alley,M,2,0,0,0,1,2,0,0,0,0,5,30,16.67,BIH,Bihar
BIH_21,Todd,,11,6,6,A,Priceshire,Taylor Plaza,M,2,3,0,2,4,2,0,0,0,1,14,30,46.67,BIH,Bihar
BIH_22,Victoria,,15,10,10,A,Schroedermouth,Kelley Dam,M,1,3,2,2,3,1,3,2,1,1,19,30,63.33,BIH,Bihar
BIH_23,Jonathan,,15,10,10,A,West Bethany,Jeffrey Spurs,F,2,3,1,2,4,4,0,0,1,0,17,30,56.67,BIH,Bihar
BIH_24,Derek,,15,10,10,A,Port William,Jose Drive,F,0,0,0,2,4,2,0,1,3,1,13,30,43.33,BIH,Bihar
BIH_25,Andrea,,14,9,9,A,East Molly,Holt Road,M,1,2,0,1,3,2,1,0,3,2,15,30,50.0,BIH,Bihar
BIH_26,Richard,,7,2,2,A,Port Louismouth,Meredith Road,M,2,4,1,1,0,2,1,2,0,2,15,30,50.0,BIH,Bihar
BIH_27,Marco,,15,10,10,A,North Teresamouth,Timothy Courts,M,2,3,0,1,0,0,0,0,2,3,11,30,36.67,BIH,Bihar
BIH_28,Julia,,9,4,4,A,New Jeremy,Brian Drive,F,0,4,0,2,1,0,0,0,0,1,8,30,26.67,BIH,Bihar
BIH_29,Emily,,8,3,3,A,Christinefurt,Jean Mall,M,0,4,0,0,1,2,2,3,1,0,13,30,43.33,BIH,Bihar
BIH_30,Billy,,14,9,9,A,New Jonathonbury,Castro Port,M,0,4,0,1,3,3,0,1,2,1,15,30,50.0,BIH,Bihar
BIH_31,Laura,,9,4,4,B,Kellybury,Madeline Fords,M,2,2,1,0,2,1,0,0,1,1,10,30,33.33,BIH,Bihar
BIH_32,David,,13,8,8,B,West Tammy,Kathryn Lakes,F,2,2,0,2,1,0,3,1,0,3,14,30,46.67,BIH,Bihar
BIH_33,Daniel,,11,6,6,B,Port Carl,Jamie Ways,M,0,0,0,0,2,1,0,3,1,0,7,30,23.33,BIH,Bihar
BIH_34,Allen,,8,3,3,B,Johnberg,Wilson Villages,F,0,2,2,2,4,4,0,0,2,0,16,30,53.33,BIH,Bihar
BIH_35,Heather,,9,4,4,B,Greerland,Spencer Cove,M,0,2,2,1,4,0,2,3,2,2,18,30,60.0,BIH,Bihar
BIH_36,Gina,,16,10,10,B,Jessicamouth,John Vista,F,2,2,1,1,0,1,1,3,0,0,11,30,36.67,BIH,Bihar
BIH_37,Kenneth,,14,9,9,B,North Henry,Strickland Springs,F,2,0,1,1,1,3,0,0,3,3,14,30,46.67,BIH,Bihar
BIH_38,Ashley,,10,5,5,B,Solomonside,Ralph Branch,M,2,4,0,2,1,4,2,3,3,1,22,30,73.33,BIH,Bihar
BIH_39,Matthew,,15,10,10,B,Robertborough,Foley Pines,M,0,4,0,1,1,0,1,2,1,2,12,30,40.0,BIH,Bihar
BIH_40,Shaun,,6,1,1,B,West Jessicashire,Carter Creek,F,2,3,1,1,2,1,1,0,2,0,13,30,43.33,BIH,Bihar
BIH_41,Kimberly,,6,1,1,B,North Mackenzie,Moreno Burg,M,0,0,0,1,4,2,2,1,3,2,15,30,50.0,BIH,Bihar
BIH_42,Jason,,8,3,3,B,North Larry,Laura Neck,M,2,3,1,1,0,0,1,1,1,0,10,30,33.33,BIH,Bihar
BIH_43,Kathryn,,6,1,1,B,Port Rebeccachester,Mills Shore,F,2,1,1,1,2,2,1,3,3,2,18,30,60.0,BIH,Bihar
BIH_44,Katherine,,14,9,9,B,Nashshire,Chase Alley,F,0,2,1,0,2,1,3,0,0,3,12,30,40.0,BIH,Bihar
BIH_45,Paula,,14,9,9,B,Lake Barbara,Hayden Streets,M,1,2,2,1,3,2,1,1,3,1,17,30,56.67,BIH,Bihar
BIH_46,Matthew,,16,10,10,B,Murraychester,Riley Plains,M,2,2,1,1,4,4,1,2,3,2,22,30,73.33,BIH,Bihar
BIH_47,Joseph,,10,5,5,B,South Markside,Padilla Mews,M,0,2,1,1,0,4,1,1,2,0,12,30,40.0,BIH,Bihar
BIH_48,Jose,,14,9,9,B,Martinezhaven,Brandon Mount,F,1,3,1,0,1,4,2,2,0,0,14,30,46.67,BIH,Bihar
BIH_49,Joy,,11,6,6,B,Terrytown,Steven Cliffs,F,2,1,0,2,0,3,2,0,2,3,15,30,50.0,BIH,Bihar
BIH_50,Wendy,,12,7,7,B,Gregoryborough,Flowers Estate,M,2,3,2,1,3,1,3,3,3,3,24,30,80.0,BIH,Bihar
BIH_51,Cynthia,,12,7,7,B,Leonardburgh,Sandra Green,F,0,2,1,1,2,0,3,0,0,1,10,30,33.33,BIH,Bihar
BIH_52,Cheyenne,,6,1,1,B,New Jennifer,Alicia Causeway,M,2,0,1,2,2,3,1,2,0,0,13,30,43.33,BIH,Bihar
BIH_53,Stephen,,15,10,10,B,Micheleland,Buckley Shoals,F,2,1,0,1,0,1,2,0,3,1,11,30,36.67,BIH,Bihar
BIH_54,Danielle,,13,8,8,B,New Lindsey,Lewis Course,F,2,0,2,2,2,0,3,0,3,3,17,30,56.67,BIH,Bihar
BIH_55,Kelly,,16,10,10,B,East Dennismouth,Alexander Mills,M,0,0,0,1,4,1,0,3,0,3,12,30,40.0,BIH,Bihar
BIH_56,Charles,,12,7,7,B,New Phillip,Nguyen Locks,M,0,2,2,2,3,1,3,3,3,2,21,30,70.0,BIH,Bihar
BIH_57,Charles,,12,7,7,B,Steventon,Janice Station,M,1,2,2,2,3,1,3,0,1,0,15,30,50.0,BIH,Bihar
BIH_58,Dawn,,13,8,8,B,Caitlynport,Kristen Creek,M,2,1,1,2,1,3,0,0,0,3,13,30,43.33,BIH,Bihar
BIH_59,Andrea,,15,10,10,B,Mariamouth,Tanya Club,M,0,2,2,2,2,2,0,2,0,1,13,30,43.33,BIH,Bihar
BIH_60,Melissa,,11,6,6,B,East Judithhaven,Seth Loaf,F,0,0,2,2,0,3,0,1,1,1,10,30,33.33,BIH,Bihar
BIH_61,Sarah,,9,4,4,C,Jackview,Graham Crescent,M,0,1,0,2,2,1,2,3,0,2,13,30,43.33,BIH,Bihar
BIH_62,Jennifer,,16,10,10,C,East Colleen,Williams Camp,M,0,2,0,1,0,3,3,1,2,3,15,30,50.0,BIH,Bihar
BIH_63,Kevin,,7,2,2,C,Lake Jameschester,Noah Dam,F,0,2,1,0,1,4,3,0,1,2,14,30,46.67,BIH,Bihar
BIH_64,Mary,,11,6,6,C,West Thomasmouth,Forbes Plain,F,1,4,2,2,1,4,1,3,0,2,20,30,66.67,BIH,Bihar
BIH_65,Daniel,,14,9,9,C,New Derek,Cox Green,F,0,3,0,1,3,3,1,1,3,3,18,30,60.0,BIH,Bihar
BIH_66,Diana,,8,3,3,C,Joseport,Hernandez Crescent,M,1,4,0,1,3,0,1,1,0,3,14,30,46.67,BIH,Bihar
BIH_67,Ryan,,16,10,10,C,Johnport,Strong Forest,F,1,3,0,0,0,3,2,0,2,0,11,30,36.67,BIH,Bihar
BIH_68,Martin,,7,2,2,C,Fosterhaven,Miller Haven,F,1,0,1,0,1,3,2,0,0,1,9,30,30.0,BIH,Bihar
BIH_69,Joshua,,10,5,5,C,Stephenschester,Johnson Square,F,0,1,1,2,0,3,2,3,1,0,13,30,43.33,BIH,Bihar
BIH_70,Samantha,,6,1,1,C,Marquezhaven,Mark Pass,F,2,4,0,2,0,4,3,0,1,3,19,30,63.33,BIH,Bihar
BIH_71,Robert,,6,1,1,C,Greenefort,Lin Plaza,M,2,0,1,1,3,3,0,2,3,2,17,30,56.67,BIH,Bihar
BIH_72,Christopher,,6,1,1,C,Frankbury,Clayton Row,F,2,2,0,2,0,3,1,0,2,0,12,30,40.0,BIH,Bihar
BIH_73,Janet,,13,8,8,C,West Nicoleland,Rebecca Meadows,M,1,4,0,2,4,1,2,0,1,0,15,30,50.0,BIH,Bihar
BIH_74,Veronica,,11,6,6,C,New Jamesfort,Donald Springs,M,0,1,0,0,2,3,3,3,1,1,14,30,46.67,BIH,Bihar
